ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
511984,Steven,Manfro,UCLA,69,No data,33,No data,RB,Castaic,CA,USA,34.4888822,-118.6228656,06037,20879
511987,Jerry,Neuheisel,UCLA,73,No data,11,No data,QB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,20735
530974,Nate,Iese,UCLA,75,No data,11,No data,TE,Elk Grove,CA,USA,38.4087993,-121.3716178,06067,22951
530975,Taylor,Lagace,UCLA,73,No data,28,No data,FB,Arcadia,CA,USA,34.1362075,-118.0401497,06037,23155
530979,Fabian,Moreau,UCLA,72,No data,10,No data,DB,Sunrise,FL,USA,26.1482449,-80.32888594100868,12011,23305
530980,Kene,Orjioke,UCLA,76,No data,46,No data,LB,Marietta,GA,USA,33.9528472,-84.5496148,13067,22563
530981,Jordan,Payton,UCLA,73,No data,9,No data,WR,Santa Monica,CA,USA,34.0250724,-118.4965129,06037,22173
530982,Paul,Perkins,UCLA,71,No data,24,No data,RB,Queen Creek,AZ,USA,33.2483858,-111.6341585,04013,22837
530985,Marcus,Rios,UCLA,71,No data,9,No data,DB,Elk Grove,CA,USA,38.4087993,-121.3716178,06067,22294
530988,Kenneth,Walker,UCLA,69,No data,10,No data,WR,Richmond,CA,USA,37.9357576,-122.3477486,06013,22742
531254,Ishmael,Adams,UCLA,68,No data,1,No data,WR,Woodland Hills,CA,USA,34.1684364,-118.6058382,06037,22172
531260,Ka'imi,Fairbairn,UCLA,72,No data,15,No data,PK,Kailua,HI,USA,21.394833,-157.72989134661873,15003,23812
531262,Randall,Goforth,UCLA,70,No data,3,No data,DB,Long Beach,CA,USA,33.7690164,-118.1916048,06037,22421
544169,Eli,Ankou,UCLA,75,No data,96,No data,DL,Ottawa,ON,Canada,No data,No data,No data,23098
547591,Darren,Andrews,UCLA,70,195,7,No data,WR,Phillips Ranch,CA,USA,34.03453065,-117.77101729303646,06037,26270
547592,John,Johnson,UCLA,69,185,17,No data,DB,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,25107
547593,Deon,Hollins,UCLA,72,No data,58,No data,DL,Houston,TX,USA,29.7589382,-95.3676974,48201,25147
547596,Thomas,Duarte,UCLA,75,No data,18,No data,WR,Fullerton,CA,USA,33.8708215,-117.9294165,06059,25263
547597,Jayon,Brown,UCLA,72,No data,12,No data,LB,Long Beach,CA,USA,33.7690164,-118.1916048,06037,26024
547599,Tahaan,Goodman,UCLA,74,No data,21,No data,DB,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,25021
547604,Myles,Jack,UCLA,73,No data,30,No data,LB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,25167
547606,Isaako,Savaiinaea,UCLA,74,No data,44,No data,LB,Honolulu,HI,USA,21.304547,-157.8556764,15003,25083
547607,Cameron,Judge,UCLA,74,No data,4,No data,LB,Moorpark,CA,USA,34.285558,-118.8820414,06111,25357
547608,Eddie,Vanderdoes,UCLA,75,No data,47,No data,DL,Auburn,CA,USA,38.8945939,-121.0739897,06061,24962
547610,Scott,Quessenberry,UCLA,75,310,52,No data,OL,La Costa,CA,USA,33.6244781,-117.6460494,06059,25342
547613,Caleb,Benenoch,UCLA,77,No data,74,No data,OL,Katy,TX,USA,29.7857853,-95.8243956,48157,25268
547616,Eldridge,Massington,UCLA,74,210,82,No data,WR,Mesquite,TX,USA,32.7666103,-96.599472,48113,25146
3117414,Adarius,Pickett,UCLA,71,198,6,4,DB,Richmond,CA,USA,37.9357576,-122.3477486,06013,28344
3117415,Mossi,Johnson,UCLA,72,195,21,No data,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,25477
3117420,Najee,Toran,UCLA,74,305,69,No data,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,28887
3122752,Kenny,Clark,UCLA,75,No data,97,No data,DL,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,25222
3134301,Jaleel,Wadood,UCLA,69,180,4,No data,DB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,28321
3134302,Jordan,Lasley,UCLA,73,210,2,No data,WR,Compton,CA,USA,33.894927,-118.226624,06037,28713
3134305,Nate,Starks,UCLA,71,210,23,No data,RB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,28400
3134306,Denzel,Fisher,UCLA,73,175,25,No data,DB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,28822
3134308,Ainuu,Taua,UCLA,71,275,35,No data,DL,Lompoc,CA,USA,34.6391501,-120.4579409,06083,28408
3134309,Cameron,Griffin,UCLA,75,No data,40,No data,FB,Inglewood,CA,USA,33.9562003,-118.353132,06037,29576
3134310,Kenny,Young,UCLA,73,235,42,No data,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,28384
3134312,Kolton,Miller,UCLA,80,310,77,No data,OL,Roseville,CA,USA,38.7521235,-121.2880059,06061,28568
3134314,Austin,Roberts,UCLA,74,230,88,No data,TE,Hollywood,FL,USA,26.0112014,-80.1494901,12011,28370
3134315,Jacob,Tuioti-Mariner,UCLA,74,285,91,No data,DL,Corona,CA,USA,33.8752945,-117.5664449,06065,28624
3134316,Matt,Dickerson,UCLA,76,290,99,No data,DL,San Mateo,CA,USA,37.5439684,-122.3066789,06081,28532
3152371,Takkarist,McKinley,UCLA,74,No data,98,No data,DL,Richmond,CA,USA,37.9357576,-122.3477486,06013,25467
3152371,Takkarist,McKinley,UCLA,74,No data,98,No data,DL,Richmond,CA,USA,37.9357576,-122.3477486,06013,54239
3886327,Nate,Meadors,UCLA,71,196,22,4,DB,San Bernardino,CA,USA,34.1083449,-117.2897652,06071,32377
3886377,Josh,Rosen,UCLA,76,218,3,No data,QB,Manhattan Beach,CA,USA,33.8915985,-118.3951241,06037,31871
3932222,Soso,Jamabo,UCLA,74,212,1,4,RB,Plano,TX,USA,33.0136764,-96.6925096,48085,31891
3932229,DeChaun,Holiday,UCLA,74,215,17,No data,LB,San Marcos,CA,USA,33.1433723,-117.1661449,06073,31927
3932230,Octavius,Spencer,UCLA,71,180,18,4,DB,Pasadena,CA,USA,34.1476452,-118.1444779,06037,32543
3932233,Bolu,Olorunfunmi,UCLA,70,222,4,4,RB,Clovis,CA,USA,36.8252277,-119.7029194,06019,32605
3932234,Will,Lockett,UCLA,71,190,23,No data,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,32713
3932236,Colin,Samuel,UCLA,74,200,29,4,CB,Long Beach,CA,USA,33.7690164,-118.1916048,06037,32186
3932239,Josh,Wariboko-Alali,UCLA,72,293,56,3,OL,Edmond,OK,USA,35.6571367,-97.4649038,40109,31962
3932245,Chris,Clark,UCLA,78,260,87,No data,TE,Ridgewood,NJ,USA,40.9796683,-74.1194403,34003,31944
3932245,Chris,Clark,UCLA,78,260,87,No data,TE,Ridgewood,NJ,USA,40.9796683,-74.1194403,34003,45397
3932246,Rick,Wade,UCLA,78,275,90,3,DL,Santa Margarita,CA,USA,35.3899734,-120.609057,06079,32222
3938451,Alex,Van Dyke,UCLA,76,No data,83,No data,WR,Elk Grove,CA,USA,38.4087993,-121.3716178,06067,28466
4035818,Theo,Howard,UCLA,72,182,1,4,WR,Westlake Village,CA,USA,34.1460234,-118.8061794,06037,35286
4035819,Brandon,Burton,UCLA,73,200,21,4,S,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,35378
4035823,Devon,Modster,UCLA,74,225,6,4,QB,Mission Viejo,CA,USA,33.5965685,-117.659405,06059,35482
4035823,Devon,Modster,UCLA,74,225,6,4,QB,Mission Viejo,CA,USA,33.5965685,-117.659405,06059,56551
4035824,Brandon,Stephens,UCLA,72,206,26,4,DB,Plano,TX,USA,33.0136764,-96.6925096,48085,35583
4035832,Michael,Alves,UCLA,76,305,55,3,OL,San Diego,CA,USA,32.7174209,-117.1627714,06073,35535
4035836,Boss,Tagaloa,UCLA,73,312,75,4,OL,Pittsburg,CA,USA,38.0181745,-121.8901232,06013,35290
