ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
511291,Benson,Browne,NC State,78,No data,89,No data,TE,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,20653
511294,Juston,Burris,NC State,73,No data,11,No data,CB,Raleigh,NC,USA,35.7803977,-78.6390989,37183,20905
511307,Hakim,Jones,NC State,74,No data,1,No data,S,Henderson,NC,USA,36.3295905,-78.3991638,37181,21285
511312,Maurice,Morgan,NC State,74,No data,19,No data,WR,LaGrange,NC,USA,33.039291,-85.0313269,13285,20867
511313,Rodman,Noel,NC State,76,No data,5,No data,LB,Everett,MA,USA,42.40843,-71.0536625,25017,57274
511322,Niklas,Sade,NC State,75,No data,32,No data,PK,Wake Forest,NC,USA,35.9803138,-78.5103731,37183,20985
512191,Jacoby,Brissett,NC State,76,No data,12,No data,QB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,19687
512459,Wil,Baumann,NC State,78,No data,36,No data,P,Wilmington,NC,USA,34.2257282,-77.9447107,37129,20693
530497,Niles,Clark,NC State,71,No data,6,No data,DB,Marietta,GA,USA,33.9528472,-84.5496148,13067,23056
530502,David,Grinnage,NC State,77,No data,86,No data,TE,Newark,DE,USA,39.6852191,-75.7508289,10003,22863
530514,Josh,Sessoms,NC State,74,No data,28,No data,S,Wilson,NC,USA,35.7212689,-77.9155395,37195,23081
530517,Shadrach,Thornton,NC State,73,No data,10,No data,RB,Hinesville,GA,USA,31.8477298,-81.5960354,13179,22656
544707,Devin,O'Connor,NC State,75,No data,44,No data,TE,Cartersville,GA,USA,34.1650972,-84.7999383,13015,23886
549930,Johnathan,Alston,NC State,72,210,5,No data,CB,Bunn,NC,USA,35.959537,-78.2543185,37069,25484
549935,Matthew,Dayes,NC State,69,No data,21,No data,RB,Ft. Lauderdale,FL,USA,26.1223084,-80.1433786,12011,25743
549936,Jerod,Fernandez,NC State,72,224,4,No data,LB,Sanford,FL,USA,28.8117297,-81.2680345,12117,26251
549940,Josh,Jones,NC State,74,No data,11,No data,S,Walled Lake,MI,USA,42.537811,-83.4810481,26125,66496
549943,Pharoah,McKever,NC State,78,227,88,No data,TE,Tabor City,NC,USA,34.1487804,-78.8766916,37047,26014
549946,Monty,Nelson,NC State,74,No data,94,No data,DT,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,25698
549947,Dakwa,Nichols,NC State,69,195,27,No data,RB,Rockingham,NC,USA,34.9393201,-79.7739457,37153,26291
